"","Checking or savings account","Credit card or prepaid card","Credit reporting, credit repair services, or other personal consumer reports","Debt collection","Money transfer, virtual currency, or money service","Mortgage","Payday loan, title loan, or personal loan","Student loan","Vehicle loan or lease"
"abrasive",2,0,6,8,0,0,1,0,1
"abreast",0,1,1,1,0,5,0,0,1
"abreviation",0,0,1,0,0,0,0,0,0
"abridge",0,0,16,0,0,0,0,0,0
"abridged",0,0,1,1,0,0,0,0,0
"abritation",0,0,0,1,0,0,0,0,0
"abritrate",0,0,0,0,0,1,0,0,0
"abritration",0,0,0,0,0,0,0,0,1
"abroad",17,28,30,5,14,1,1,3,1
"abroadmy",1,0,0,0,0,0,0,0,0
"abrogate",0,0,5,0,0,2,0,0,0
"abruplty",1,0,0,0,0,0,0,0,0
"abrupt",5,7,2,6,4,4,1,1,3
"abruptly",26,36,23,25,8,22,2,7,3
"abscond",3,2,4,0,0,2,0,0,2
"absconder",2,0,0,0,0,0,0,0,0
"absconding",0,0,2,0,0,0,0,0,0
"absence",12,12,224,27,3,26,1,5,2
"absent",6,11,41,116,1,19,0,6,6
"absentee",0,1,2,1,0,1,0,0,0
"absenteeism",0,0,0,0,0,1,0,0,0
"absentia",0,0,0,1,0,1,0,0,0
"absents",0,0,0,0,0,1,0,0,0
"absnet",0,1,0,0,0,0,0,0,0
"abso",0,0,0,0,0,1,0,0,0
"absocnding",0,1,0,0,0,0,0,0,0
"absoiutely",0,0,0,0,1,0,0,0,0
"absoloutely",0,1,0,0,0,0,0,0,0
"absoltuly",0,1,0,0,0,0,0,0,0
"absoluetly",0,0,0,0,0,0,1,0,0
"absolute",25,30,577,38,8,40,4,10,11
"absolutely",205,351,885,270,85,253,43,85,64
"absolution",0,1,0,0,0,0,0,0,0
"absolutley",0,1,0,2,0,1,0,0,0
"absolutly",1,0,0,0,0,0,0,0,0
"absolve",5,7,29,37,4,2,0,2,2
"absorb",10,5,14,5,2,12,4,2,4
"absorbant",0,0,0,1,0,0,0,0,0
"absorbed",0,0,0,1,0,0,1,0,0
"absorbent",0,0,1,1,0,2,0,0,0
"absorber",0,1,0,0,0,0,0,0,0
"absorbs",0,0,0,0,0,1,0,0,0
"absorption",0,0,0,0,0,0,0,0,1
"abstacle",0,1,0,0,0,0,0,0,0
"abstract",1,1,6,5,0,9,0,0,1
"abstractly",0,0,0,0,0,1,0,0,0
"abstruse",0,0,0,0,0,0,0,0,1
"absurb",0,0,3,0,0,1,0,0,0
"absurd",46,99,117,51,12,53,13,14,11
"absurdity",2,3,5,1,0,0,0,0,0
"absurdly",1,5,1,1,0,1,0,0,0
"absured",1,0,0,0,0,0,0,0,0
"abt",0,5,1,1,0,1,0,0,1
"abtain",0,0,2,0,0,0,0,0,0
"abu",0,2,0,0,0,0,0,0,0
"abulance",0,0,0,3,0,0,0,0,0
"abundance",1,6,39,6,0,7,1,0,0
"abundant",1,0,2,5,0,1,0,0,0
"abundantly",2,5,6,2,0,2,0,3,0
"abuse",115,187,334,276,29,115,26,30,25
"abused",2,4,7,7,1,2,1,0,0
"abuser",4,0,4,0,0,0,0,1,0
"abusing",0,0,0,0,0,0,1,0,0
"abusive",41,92,289,317,7,79,22,15,26
"abusively",2,3,1,5,0,3,1,0,0
"abusrd",0,0,1,0,0,0,0,0,0
"abussive",0,0,0,1,0,0,0,0,0
"abust",0,1,0,0,0,0,0,0,0
"abut",2,3,1,2,0,2,0,1,0
"abviously",0,1,0,0,0,0,0,0,0
"aby",0,0,0,0,0,1,0,0,0
"abysmal",0,3,3,0,3,9,0,2,2
"abyss",0,1,1,0,1,3,0,0,0
"aca",0,1,3,20,0,0,0,0,15
"acacceptance",0,0,0,0,0,0,0,0,1
"academia",0,0,0,1,0,0,0,0,0
"academic",1,1,6,6,1,1,0,20,0
"academically",0,0,0,0,0,0,0,1,0
"academy",0,5,5,0,0,20,0,1,0
"academymortgage",0,0,0,0,0,1,0,0,0
"acant",0,0,2,0,0,0,0,0,0
"acardthatcarriesa",0,1,0,0,0,0,0,0,0
"acas",0,0,0,1,0,0,0,0,0
"acats",1,0,0,0,0,0,0,0,0
"acc",8,12,486,33,7,10,4,0,6
"accaptable",0,0,0,0,0,0,0,1,0
"accba",0,1,0,0,0,0,0,0,0
"accc",0,2,0,0,0,0,0,0,0
"accccount",0,0,0,2,0,0,0,0,0
"accces",0,1,0,0,0,0,0,0,0
"acccont",0,0,0,1,0,0,0,0,0
"acccoun",1,0,0,0,0,0,0,0,0
"acccount",2,5,18,2,3,1,0,0,0
"acccounts",1,2,15,1,0,0,0,0,0
"acccountype",0,0,2,0,0,0,0,0,0
"accct",0,1,0,0,0,0,0,0,0
"acccunt",0,1,0,0,0,0,0,0,0
"accdg",1,0,0,0,0,0,0,0,0
"acce",0,0,2,0,0,0,0,0,2
"accect",1,0,0,0,0,0,0,0,0
"accede",0,1,0,0,0,0,0,0,0
"accelerant",0,0,2,0,0,0,0,0,0
"accelerate",26,5,13,35,1,78,2,4,5
"accelerated",4,1,2,11,0,11,2,2,2
"acceleration",1,0,9,43,0,25,1,2,3
"accelerator",0,0,0,0,0,6,0,0,0
"accent",6,32,38,28,8,12,3,1,1
"accentuation",0,0,2,0,0,0,0,0,0
"accep",0,0,1,2,0,0,0,0,0
"accepable",0,0,3,0,0,0,0,0,0
"accepeted",0,1,0,0,0,0,0,0,0
"accept",427,1042,3115,863,274,1391,176,169,250
"acceptable",80,118,156,105,80,172,15,34,30
"acceptace",0,1,0,1,0,0,0,0,0
"acceptan",0,0,0,0,0,0,0,0,2
"acceptanc",0,0,5,0,0,0,0,0,0
"acceptance",8,35,388,212,3,73,18,27,365
"acceptancenow",0,0,0,0,0,0,1,0,0
"acceptancexxxx",0,0,3,0,0,0,0,0,0
"acceptancxxxx",0,0,0,0,0,0,0,0,1
"accepted",7,9,12,16,4,18,1,0,1
"acceptence",0,0,0,1,0,0,0,0,1
"accepting",3,3,1,1,0,4,0,0,0
"acceptions",0,0,0,0,1,0,0,0,0
"acceptor",0,0,3,0,1,0,0,0,0
"accepts",2,6,5,1,2,5,2,1,0
"accepy",0,0,0,0,1,0,0,0,0
"accertified",0,0,0,0,0,0,0,1,0
"acces",0,1,1,0,1,1,0,0,0
"accese",0,1,0,0,0,0,0,0,0
"accesed",0,0,1,0,0,0,0,0,0
"accesing",1,0,0,0,0,0,0,0,0
"accesnt",0,0,0,2,0,0,0,0,0
"access",2432,1918,5459,733,754,634,182,149,164
"accessed",3,5,11,3,0,2,0,0,2
"accessement",0,0,0,0,0,1,0,0,0
"accessgroup",0,0,0,0,0,0,0,2,0
"accessibility",4,3,9,3,1,5,0,1,0
"accessible",30,50,67,17,13,22,3,7,1
"accessing",0,0,0,0,1,0,1,0,0
"accession",0,1,2,0,0,0,0,0,0
"accessor",0,0,0,0,0,2,0,0,0
"accessories",0,0,0,0,1,0,0,0,0
"accessors",0,0,0,1,0,3,0,0,0
"accessory",2,13,13,0,7,2,1,0,2
"accest",0,1,0,0,0,0,0,0,0
"accet",0,0,0,1,0,0,0,0,0
"accetable",1,0,0,0,0,0,0,0,0
"accetance",0,0,0,0,0,0,0,0,1
"accidence",0,0,0,1,0,0,0,0,0
"accident",31,70,416,239,19,54,16,11,197
"accidental",9,14,7,5,4,7,1,2,1
"accidentally",35,56,45,19,29,39,10,9,6
"accidentlly",1,0,0,0,0,0,0,0,0
"accidently",7,1,6,1,2,2,0,1,0
"accidents",0,0,0,0,0,1,0,0,0
"acciount",0,0,0,0,1,0,0,0,0
"acciunt",1,0,0,0,0,0,0,0,0
"acciuntsvor",0,0,1,0,0,0,0,0,0
"acclaim",1,0,0,0,0,0,0,0,0
"acclaimed",0,0,0,0,0,1,0,0,0
"accnt",6,4,18,4,0,2,0,0,0
"acco",1,0,21,1,0,0,0,0,0
"accociated",1,0,0,0,0,0,0,0,0
"accocunt",0,0,0,2,0,0,0,0,0
"accoint",2,2,5,0,1,0,0,0,0
"accoit",0,0,0,0,0,0,1,0,0
"accoiunt",1,0,0,0,0,0,0,0,0
"accoiunts",0,0,4,0,0,0,0,0,0
"accojnt",0,0,0,0,1,0,0,0,0
"accomdate",0,0,0,0,0,1,0,0,0
"accomidating",0,0,0,0,0,0,0,0,1
"accommanied",0,1,0,0,0,0,0,0,0
"accommodate",17,31,25,20,3,30,10,3,11
"accommodated",0,0,1,0,0,0,0,0,0
"accommodatemy",0,1,0,0,0,0,0,0,0
"accommodating",0,1,0,0,0,1,0,0,0
"accommodation",15,45,175,11,5,29,1,4,7
"accommodative",0,1,0,0,0,0,0,0,0
"accomodate",0,4,0,3,0,2,0,0,0
"accomodated",0,2,0,0,0,0,0,1,0
"accomodating",0,0,0,1,0,0,0,0,0
"accomodation",0,2,0,0,0,1,0,0,0
"accomodations",1,5,0,0,0,0,1,0,0
"accomodsate",0,0,0,0,0,1,0,0,0
"accompanied",0,0,0,2,0,0,0,1,0
"accompanies",0,0,0,1,0,0,0,0,0
"accompany",7,26,62,30,4,20,3,4,2
"accompanying",0,0,23,0,0,0,0,0,0
"accompanyment",0,1,0,0,0,0,0,0,0
"accomplice",4,3,1,4,4,3,0,0,1
"accomplish",11,32,88,20,6,47,5,4,11
"accomplished",0,0,2,0,0,3,0,1,0
"accomplishment",0,2,4,1,0,2,0,0,0
"accont",1,2,3,4,1,1,0,0,0
"acconts",0,0,4,0,0,0,0,0,0
"accoount",0,0,0,1,0,0,0,0,0
"accor",1,0,0,0,0,0,0,0,0
"accord",291,545,4231,1276,115,732,109,118,161
"accordance",43,314,4306,965,15,141,45,94,96
"accordantly",0,0,0,0,0,1,0,0,0
"accorder",0,0,0,2,0,0,0,0,0
"accordinf",0,0,1,0,0,0,0,0,0
"accordinge",0,0,0,0,0,1,0,0,0
"accordingly",37,60,639,186,11,99,8,21,20
"accordinglyi",0,0,1,0,0,0,0,0,0
"accordingt",0,0,1,0,0,0,0,0,0
"accordion",1,0,0,0,0,0,0,0,0
"accoring",1,0,0,0,0,0,0,0,0
"accorns",1,0,0,0,0,0,0,0,0
"accorting",0,0,0,0,0,0,0,1,0
"accossiated",1,0,0,0,0,0,0,0,0
"accost",0,0,0,1,0,0,1,0,0
"accou",3,1,6,0,0,0,0,0,0
"accoubt",0,0,0,1,0,0,0,0,0
"accouht",0,0,0,0,1,0,0,0,0
"accouinting",0,0,0,0,0,0,0,0,1
"accoumt",0,0,2,0,0,0,0,0,0
"accoumting",0,0,0,0,0,1,0,0,0
"accoun",0,1,7,2,0,1,1,0,0
"accound",0,1,4,1,0,1,0,0,0
"accoung",1,1,0,0,0,0,0,0,0
"accoungts",0,0,1,0,0,0,0,0,0
"accounnt",0,1,0,0,0,0,0,0,0
"accounr",0,1,0,1,0,0,0,0,0
"accouns",1,1,3,1,0,0,0,0,0
"accounst",0,0,9,0,0,0,0,0,0
"account",35290,31073,177965,35164,10330,11569,3396,2680,3660
"accounta",0,0,3,0,0,0,0,0,0
"accountability",39,43,108,61,12,59,8,10,8
"accountabilty",0,0,0,0,0,1,0,0,0
"accountable",65,116,897,131,22,102,15,30,30
"accountablilty",0,0,1,0,0,0,0,0,0
"accountablity",0,0,0,0,0,1,0,0,0
"accountaccess",0,0,0,0,0,0,0,1,0
"accountaccount",0,0,0,5,0,0,0,0,0
"accountancy",0,0,0,0,0,1,0,0,1
"accountand",1,1,2,0,0,0,0,0,0
"accountant",27,13,16,14,8,43,10,5,4
"accountbalance",0,0,1,0,0,0,0,0,0
"accountbalanceloan",0,0,2,0,0,0,0,0,0
"accountbgaining",0,0,1,0,0,0,0,0,0
"accountbto",0,0,0,0,0,0,0,0,1
"accountcapital",0,1,0,0,0,0,0,0,0
"accountcare",0,0,1,0,0,0,0,0,0
"accountcheck",0,0,0,0,0,1,0,0,0
"accountdate",0,0,1,0,0,0,0,0,0
"accountdisputed",0,0,1,0,0,0,0,0,0
"accountdue",0,0,0,0,0,0,0,1,0
"accounte",0,0,3,0,0,0,0,0,0
"accounted",0,2,0,0,0,0,0,0,0
"accountfor",1,0,0,0,0,0,0,0,0
"accountfrom",0,0,0,1,0,0,0,0,0
"accounthas",0,0,0,1,0,0,0,0,0
"accountholder",5,1,0,0,2,2,0,0,0
"accountholders",3,3,1,0,2,0,0,0,0
"accountibility",0,0,1,0,0,0,0,0,0
"accounting",52,76,260,435,23,290,17,73,76
"accountit",1,0,0,0,0,0,0,0,0
"accountlasttime",1,0,0,0,0,0,0,0,0
"accountlisted",0,0,1,0,0,0,0,0,0
"accountm",0,0,1,0,0,0,0,0,0
"accountmc",0,1,0,0,0,0,0,0,0
"accountmuch",1,0,0,0,0,0,0,0,0
"accountname",0,0,3,0,0,0,0,0,0
"accountnumber",0,0,3,0,1,0,0,0,0
"accounton",0,1,0,0,0,0,0,0,0
"accounts",0,0,3,0,0,0,0,0,0
"accountsa",0,0,0,0,0,0,1,0,0
"accountsare",0,0,3,0,0,0,0,0,0
"accountsby",0,0,7,0,0,0,0,0,0
"accountsdoes",0,0,3,0,0,0,0,0,0
"accountsecure",0,1,0,0,0,0,0,0,0
"accountshas",0,0,0,2,0,0,0,0,0
"accountsi",0,0,3,0,0,0,0,0,0
"accountsive",0,0,3,0,0,0,0,0,0
"accountsshow",0,0,18,0,0,0,0,0,0
"accountstotal",0,0,3,0,0,0,0,0,0
"accountsummary",0,0,1,0,0,0,0,0,0
"accountsxxxx",0,0,3,0,0,0,0,0,0
"accountszhould",0,0,0,1,0,0,0,0,0
"accountt",1,0,0,0,0,0,0,0,0
"accountthat",1,0,0,0,0,0,0,0,0
"accountthe",0,0,0,0,0,1,0,0,0
"accounttotal",0,0,0,1,0,0,0,0,0
"accountus",0,0,1,0,0,0,0,0,0
"accountwhat",0,0,1,0,0,0,0,0,0
"accountxx",0,0,4,0,1,0,0,0,0
"accountxxxx",2,0,32,1,0,0,0,0,0
"accounty",1,0,0,0,0,0,0,0,0
"accouny",0,0,0,1,0,0,0,0,0
"accourate",0,0,1,0,0,0,0,0,0
"accourding",0,0,1,0,0,0,0,0,0
"accout",8,4,8,4,1,3,0,1,1
"accoutable",0,0,0,0,0,1,0,0,0
"accouting",0,0,1,0,0,0,1,0,0
"accoutn",1,0,2,0,0,3,0,0,0
"accoutns",0,0,13,0,0,0,0,0,0
"accouts",1,1,11,0,0,0,0,0,0
"accouuts",0,0,10,0,0,0,0,0,0
"accoynt",0,1,0,0,0,0,0,0,0
"accpectable",0,0,3,0,0,0,0,0,0
"accpetable",0,0,1,0,0,0,0,0,0
"accpetance",0,0,0,0,0,0,0,0,1
"accpiltion",0,1,0,0,0,0,0,0,0
"accponts",0,0,2,0,0,0,0,0,0
"accpt",0,0,4,0,0,0,0,0,0
"accpunt",0,1,0,0,0,0,0,0,0
"accquired",0,0,0,1,0,0,0,0,0
"accrediated",0,0,0,0,0,0,0,1,0
"accredidation",0,0,0,0,0,0,0,0,1
"accredit",2,5,4,14,2,12,0,18,1
"accreditation",2,1,17,3,1,0,0,12,0
"accredited",3,4,7,9,1,1,0,10,0
"accreditors",0,0,0,1,0,0,0,0,0
"accroding",0,0,1,0,0,0,0,0,0
"accros",0,0,2,0,0,0,0,0,0
"accross",0,1,4,0,1,0,0,0,0
"accrual",6,18,1,8,0,16,2,18,2
"accrude",0,1,0,0,0,0,0,0,0
"accrue",57,372,197,210,10,198,77,223,75
"accrued",6,39,16,9,0,28,9,35,4
"accruement",0,0,0,0,0,1,0,0,0
"accrues",2,4,4,1,1,3,5,12,1
"accruing",1,9,1,3,0,5,5,4,1
"accss",1,0,0,0,0,0,0,0,0
"acct",333,244,7326,450,93,152,44,44,46
"acctholder",1,0,0,0,0,0,0,0,0
"acctnxxxx",0,0,2,0,0,0,0,0,0
"accts",37,6,82,23,1,9,1,3,2
"acctstoday",0,0,0,1,0,0,0,0,0
"acctt",0,0,1,0,0,0,0,0,0
"acctxx",0,0,1,0,0,0,0,0,0
"accu",0,0,0,0,0,0,0,3,0
"accuarte",0,0,3,0,0,0,0,0,0
"accuartely",1,0,0,0,0,0,0,0,0
"accuate",0,0,3,1,0,0,0,0,0
"accumilated",0,0,2,0,0,0,0,0,0
"accumlated",0,1,0,0,0,0,0,0,0
"accumulate",33,122,40,57,4,49,21,49,19
"accumulated",3,13,2,5,1,6,1,5,2
"accumulates",0,0,0,1,0,0,0,0,0
"accumulating",0,3,0,1,0,1,0,0,0
"accumulation",1,7,9,3,0,3,2,4,1
"accumulative",1,0,0,0,0,1,0,0,0
"accumulatively",0,0,0,0,0,1,0,0,0
"accunt",0,0,0,3,0,0,1,0,0
"accunts",0,0,1,0,0,0,0,0,0
"accur",0,1,1,0,0,0,0,0,0
"accurac",0,0,1,0,0,0,0,0,0
"accuracte",0,0,2,0,0,0,0,0,0
"accuracy",16,24,4991,328,1,27,9,19,10
"accuracyimpossible",0,0,3,0,0,0,0,0,0
"accural",0,0,0,0,0,0,0,1,0
"accurancy",0,0,3,0,0,0,0,0,0
"accurate",105,243,11239,1041,23,316,35,132,100
"accurated",0,1,0,0,0,0,0,0,0
"accurately",22,200,1208,195,3,90,19,43,62
"accuratle",0,0,0,1,0,0,0,0,0
"accuratley",0,0,1,0,0,0,0,0,0
"accuratly",0,0,1,0,0,0,0,0,0
"accuravcy",0,0,1,0,0,0,0,0,0
"accure",0,1,0,0,0,1,1,1,0
"accured",0,2,1,0,1,2,1,3,0
"accureing",0,0,0,0,0,0,1,0,0
"accuring",0,1,0,0,0,1,0,0,1
"accurint",0,0,1,0,0,0,0,0,0
"accurrate",0,0,2,1,0,0,0,0,0
"accusation",23,25,1530,33,11,13,2,2,1
"accusatory",4,10,5,5,0,1,0,0,0
"accuse",84,108,722,96,16,47,12,18,7
"accused",0,1,43,5,0,0,0,0,0
"accuser",9,0,2019,0,0,0,0,0,0
"accuses",0,0,0,1,0,1,0,0,0
"accussed",0,0,3,0,0,0,0,0,0
"accussing",0,0,0,0,0,0,0,0,2
"accustaions",0,0,1,0,0,0,0,0,0
"accustom",1,2,7,0,0,2,0,0,0
"accustomed",0,0,1,1,1,0,0,0,0
"accxxxx",0,0,5,1,0,0,0,0,0
"acd",0,0,1,0,0,1,0,0,0
"acdv",0,0,69,6,0,0,0,0,0
"ace",18,13,38,135,7,4,69,0,0
"acedima",0,0,0,0,1,0,0,0,0
"acees",1,0,0,0,0,0,0,0,0
"aceess",0,1,0,0,0,0,0,0,0
"acei",0,0,0,17,0,0,0,0,0
"acept",0,0,0,0,0,1,0,0,0
"aceptance",0,0,0,0,0,0,0,0,1
"acepted",1,1,0,0,0,0,0,0,0
"acer",0,0,0,0,0,1,0,0,0
"acerbic",0,0,1,0,0,0,0,0,0
"acess",2,0,0,0,0,0,0,0,0
"acessor",0,0,0,0,0,1,0,0,0
"acfertain",0,0,0,0,0,0,1,0,0
"ach",474,143,149,76,113,215,194,35,28
"achance",0,1,0,0,0,0,0,0,0
"achastain",0,0,0,0,0,1,0,0,0
"achats",0,0,0,0,1,0,0,0,0
"achd",2,0,2,0,0,0,0,0,0
"ache",1,2,1,3,1,2,0,0,0
"achecking",1,0,0,0,0,0,0,0,0
"achfunding",1,0,0,0,0,0,0,0,0
"achi",0,15,0,0,0,0,0,0,0
"achie",0,0,1,0,0,0,0,0,0
"achievable",0,1,0,0,0,1,0,0,0
"achieve",15,23,90,15,1,69,4,6,4
"achievement",0,0,5,0,0,0,0,0,0
"achiever",0,0,3,0,0,0,0,0,0
"achievments",1,0,0,0,0,0,0,0,0
"achived",0,0,0,0,0,0,0,0,1
"achool",0,0,0,0,0,0,0,1,0
"achpayments",1,0,0,0,0,0,0,0,0
"achs",7,1,0,0,1,1,1,0,0
"aci",0,0,0,20,0,0,0,0,0
"acid",0,8,0,1,0,0,0,0,0
"acima",1,1,53,46,9,0,80,0,0
"acimas",0,0,0,0,0,0,1,0,0
"acitivate",0,1,0,0,0,0,0,0,0
"acitivities",0,1,3,0,0,0,0,0,0
"acivated",0,0,0,0,0,0,1,0,0
"acive",1,0,3,0,0,0,0,0,0
"ack",0,0,1,0,0,1,0,0,0
"ackknowledge",0,1,0,0,0,0,0,0,0
"acknogle",0,0,4,0,0,0,0,0,0
"acknoledge",0,2,1,0,0,0,0,0,0
"acknoledged",0,0,2,0,0,0,0,0,0
"acknolwedged",0,1,0,0,0,0,0,0,0
"acknowedge",0,0,0,0,0,0,0,1,0
"acknoweldge",0,0,0,1,0,0,0,0,0
"acknowkedged",0,0,0,0,0,1,0,0,0
"acknowled",0,1,0,0,0,0,0,0,0
"acknowlede",0,1,0,0,0,0,0,0,0
"acknowledge",148,399,1276,520,68,543,51,64,91
"acknowledged",1,1,4,3,0,4,0,0,0
"acknowledgement",17,58,598,59,9,96,2,4,8
"acknowledges",2,4,10,4,1,5,1,1,5
"acknowledging",0,1,1,3,1,1,0,0,0
"acknowledgment",7,25,50,25,4,46,4,5,5
"acknowleding",1,0,0,0,0,0,0,0,0
"acknowledment",0,0,0,0,0,1,0,0,0
"acknowlege",1,1,1,0,0,0,0,0,0
"acknowleged",0,0,0,1,0,0,0,0,0
"acknowlegement",0,1,0,0,0,0,0,0,0
"ackowledged",1,0,0,0,0,0,0,0,0
